attendance_rate_7d,attendance_rate_14d,attendance_rate_30d,consistency_score,absence_streak_max,absence_streak_current,trend_slope,weekend_vs_weekday_ratio,early_vs_late_month_ratio,days_since_last_absence,total_sessions_missed,has_multiple_risk_factors,future_attendance_rate,future_at_risk,student_id,student_type,department,year
0.5714285714285714,0.6428571428571429,0.6666666666666666,0.5140388985830291,2,0,0.006593406593406587,1.0769230769230769,1.0,1,22,0,0.7333333333333333,1,STU_00001,average,Mathematics,3
0.7142857142857143,0.7142857142857143,0.6666666666666666,0.5308982016927017,3,1,-0.02197802197802201,1.2098765432098764,1.1578947368421053,0,19,0,0.8,0,STU_00002,erratic,Electrical Engineering,2
0.42857142857142855,0.6428571428571429,0.5,0.4957805159103893,6,1,-0.059340659340659366,1.1666666666666667,0.875,0,30,1,0.5333333333333333,1,STU_00003,struggling,Civil Engineering,2
0.5714285714285714,0.5714285714285714,0.6,0.5308982016927016,5,0,-0.008791208791208833,0.8555555555555556,1.05,2,19,0,0.8,0,STU_00004,average,Business Administration,3
0.7142857142857143,0.7857142857142857,0.7666666666666667,0.6399152642097246,3,0,-0.006593406593406638,1.0666666666666667,0.888888888888889,1,9,0,0.9333333333333333,0,STU_00005,excellent,Business Administration,3
0.7142857142857143,0.8571428571428571,0.9,0.6762682284869066,1,0,-0.01318681318681324,0.9210526315789475,0.962962962962963,4,7,0,0.8666666666666667,0,STU_00006,excellent,Mechanical Engineering,3
0.5714285714285714,0.6428571428571429,0.8,0.6097950705005769,2,2,-0.032967032967033016,1.1313131313131313,1.2272727272727273,0,11,0,0.8,0,STU_00007,excellent,Mathematics,2
0.8571428571428571,0.6428571428571429,0.5,0.49606071570090216,4,1,0.03296703296703296,1.425925925925926,0.9333333333333333,0,31,1,0.8,0,STU_00008,struggling,Computer Science,3
0.8571428571428571,0.7142857142857143,0.7,0.5966244127283115,2,0,0.04835164835164836,1.2795698924731183,1.0869565217391304,4,12,0,0.7333333333333333,1,STU_00009,average,Mechanical Engineering,3
0.5714285714285714,0.5,0.43333333333333335,0.5002825657190919,7,1,0.01978021978021978,0.84,1.125,0,26,0,0.6,1,STU_00010,struggling,Computer Science,1
0.8571428571428571,0.7857142857142857,0.8,0.6241769859985855,2,1,0.006593406593406576,1.0,1.1739130434782608,0,10,0,0.9333333333333333,0,STU_00011,excellent,Mathematics,1
0.2857142857142857,0.2857142857142857,0.3,0.5096985822720999,6,2,-3.9483475598864595e-18,0.8235294117647058,0.7692307692307692,0,37,0,0.4,1,STU_00012,erratic,Mechanical Engineering,2
0.42857142857142855,0.2857142857142857,0.43333333333333335,0.5059678182444289,7,4,0.017582417582417575,1.1666666666666667,1.1818181818181819,0,36,0,0.6,1,STU_00013,struggling,Mechanical Engineering,3
1.0,0.8571428571428571,0.8,0.584549798343415,2,0,0.03956043956043955,1.4482758620689655,1.0434782608695652,10,13,0,0.5333333333333333,1,STU_00014,excellent,Business Administration,2
0.7142857142857143,0.8571428571428571,0.9333333333333333,0.6974683095462335,2,0,-0.035164835164835206,0.9824561403508771,1.25,2,6,0,0.8,0,STU_00015,excellent,Computer Science,1
0.7142857142857143,0.8571428571428571,0.8666666666666667,0.6399152642097246,2,0,-0.026373626373626412,0.9722222222222223,1.04,1,9,0,0.7333333333333333,1,STU_00016,excellent,Electrical Engineering,1
0.5714285714285714,0.6428571428571429,0.7,0.5966244127283113,2,1,-0.015384615384615441,1.0606060606060608,1.2857142857142858,0,12,0,0.6666666666666666,1,STU_00017,average,Electrical Engineering,3
0.8571428571428571,0.7142857142857143,0.7333333333333333,0.5734781319149014,2,0,0.013186813186813156,0.9191919191919192,1.090909090909091,3,14,0,0.6,1,STU_00018,average,Mechanical Engineering,2
0.7142857142857143,0.7142857142857143,0.6666666666666666,0.5246173114584717,3,2,-0.013186813186813232,0.7777777777777778,0.7391304347826086,0,20,0,0.8666666666666667,0,STU_00019,average,Mathematics,1
0.8571428571428571,0.8571428571428571,0.8333333333333334,0.5966244127283113,2,0,0.00879120879120878,0.9607843137254902,0.92,3,12,0,0.8666666666666667,0,STU_00020,average,Mechanical Engineering,4
1.0,1.0,0.9,0.6399152642097246,3,0,-4.5049633455634363e-17,0.9722222222222223,0.9615384615384616,25,9,0,0.6666666666666666,1,STU_00021,average,Business Administration,3
